Row    Object Name       		 RA     	DEC  
73  *B3 0814+425              08h18m16.0s +42d22m45s
74   FBQS J081827.3+281402    08h18m27.3s +28d14m03s
75   B2 0815+32               08h18m40.0s +31d53m48s
76   SDSS J081918.84+274730.8 08h19m18.8s +27d47m31s
77   SDSS J081931.58+142937.6 08h19m31.6s +14d29m38s
78   SDSS J081956.03+132100.9 08h19m56.0s +13d21m01s
79  *FBQS J082020.2+364004    08h20m20.2s +36d40m04s
80   2MASS J08205119+2353451  08h20m51.2s +23d53m45s
81   SDSS J082320.56+112551.6 08h23m20.5s +11d25m52s
82   2MASX J08232326+1524482  08h23m23.2s +15d24m48s
83   4C +22.21                08h23m24.7s +22d23m03s
84   2MASS J08260391+4130437  08h26m03.9s +41d30m44s
85  *SDSS J082638.58+515233.1 08h26m38.6s +51d52m33s
86   SDSS J082722.73+032755.9 08h27m22.7s +03d27m56s
87   SDSS J082801.14+231217.6 08h28m01.1s +23d12m18s
88   SDSS J082814.20+415351.9 08h28m14.2s +41d53m52s
89   SDSS J082927.85+075911.4 08h29m27.8s +07d59m11s
90   SDSS J082935.10+261746.4 08h29m35.1s +26d17m46s
91   SDSS J083133.04+174630.8 08h31m33.0s +17d46m31s
92   [HB89] 0829+046          08h31m48.9s +04d29m39s
93  *[HB89] 0828+493          08h32m23.2s +49d13m21s
94   SDSS J083304.73+415331.3 08h33m04.7s +41d53m31s
95   SDSS J083330.56+233909.1 08h33m30.6s +23d39m09s
96   2MASS J08335705+4726525  08h33m57.1s +47d26m53s
97   2MASS J08341388+5112143  08h34m13.9s +51d12m15s
98   SDSS J083417.58+182501.6 08h34m17.6s +18d25m02s
99  *B3 0831+442              08h34m58.2s +44d03m38s
100  2MASS J08354322+0937177  08h35m43.2s +09d37m18s
101  2MASX J08354812+1517176  08h35m48.1s +15d17m17s
102  SDSS J083650.86+142539.0 08h36m50.8s +14d25m39s
103 *2MASXi J0837247+145819   08h37m24.7s +14d58m20s
104  SDSS J083743.98+175920.4 08h37m44.0s +17d59m20s
105  SDSS J083858.56+232252.9 08h38m58.5s +23d22m53s
106  SDSS J083918.74+361856.1 08h39m18.7s +36d18m56s
107  [HB89] 0836+182          08h39m30.7s +18d02m47s
108 *2MASS J08394334+3540013  08h39m43.4s +35d40m01s
109  2MASS J08401304+3440269  08h40m13.0s +34d40m27s
110  SDSS J084056.05+372105.8 08h40m56.0s +37d21m06s
111  2MASS J08422550+0252524  08h42m25.5s +02d52m53s
112  SDSS J084249.02+235204.7 08h42m49.0s +23d52m05s
113  SDSS J084325.59+110159.7 08h43m25.6s +11d02m00s
114 *SDSS J084424.24+124546.5 08h44m24.2s +12d45m47s
115  2MASS J08445223+2804096  08h44m52.3s +28d04m10s
116  2MASX J08471294+1133497  08h47m12.9s +11d33m50s
117  2MASS J08490880+0206220  08h49m08.8s +02d06m22s
118  SDSS J084932.54+045507.8 08h49m32.5s +04d55m08s
119  SDSS J085025.60+342750.9 08h50m25.6s +34d27m51s
120 *2MASX J08503620+3455231  08h50m36.2s +34d55m23s
121  SDSS J085102.97+054905.9 08h51m03.0s +05d49m06s
122  2MASX J08513593+5528341  08h51m35.9s +55d28m35s
123  2MASS J08522911+2433541  08h52m29.1s +24d33m54s
124  2MASX J08525307+1757190  08h52m53.1s +17d57m19s
125  SDSS J085254.40+180000.7 08h52m54.4s +18d00m01s
126  B3 0850+443              08h54m09.9s +44d08m30s
127  SDSS J085410.16+275421.7 08h54m10.2s +27d54m22s
128  OJ +287                  08h54m48.9s +20d06m31s
129  SDSS J085506.39+260142.1 08h55m06.4s +26d01m42s
130  SDSS J085638.50+014000.6 08h56m38.5s +01d40m01s
131 *SDSS J085639.74+205743.3 08h56m39.7s +20d57m43s
132  SDSS J085701.00+234239.5 08h57m01.0s +23d42m40s
133 *2MASS J08572979+0627248  08h57m29.8s +06d27m25s
134  2MASX J08574977+0135301  08h57m49.8s +01d35m30s
135  SDSS J085920.55+004712.1 08h59m20.5s +00d47m12s
136  SDSS J090107.64+384658.7 09h01m07.6s +38d46m59s
137  SDSS J090207.95+454433.0 09h02m07.9s +45d44m33s
138  SDSS J090226.91+205046.4 09h02m26.9s +20d50m46s
139  SDSS J090240.47+153556.7 09h02m40.5s +15d35m57s
140  2MASX J09031474+4056002  09h03m14.7s +40d56m00s
141 *SDSS J090334.27+285359.2 09h03m34.3s +28d53m59s
142  SDSS J090523.60+575912.4 09h05m23.6s +57d59m12s
143  SDSS J090700.08+085751.3 09h07m00.1s +08d57m51s
144  SDSS J090703.91+410748.3 09h07m03.9s +41d07m48s
145  SDSS J090818.95+214820.0 09h08m18.9s +21d48m20s
146  SDSS J090843.25+285229.8 09h08m43.2s +28d52m30s
147  SDSS J090855.92+160954.8 09h08m55.9s +16d09m55s
148  SDSS J090900.62+231113.0 09h09m00.6s +23d11m13s
149  PKS 0907+022             09h09m39.8s +02d00m05s
150 *B2 0906+31               09h09m53.3s +31d06m03s
151  FBQS J091037.0+332924    09h10m37.0s +33d29m24s
152  2MASS J09104531+2548126  09h10m45.3s +25d48m13s
153  FBQS J091052.0+390202    09h10m52.0s +39d02m02s
154 *2MASS J09114777+3349167  09h11m47.7s +33d49m17s
155  2MASS J09115135+2949294  09h11m51.3s +29d49m30s
156  SDSS J091211.21+275927.9 09h12m11.2s +27d59m28s
157  SDSS J091249.60+050317.7 09h12m49.6s +05d03m18s
158  FBQS J091552.3+293324    09h15m52.4s +29d33m24s
159  2MASX J09165193+5238281  09h16m51.9s +52d38m28s
160  B3 0914+406              09h17m40.1s +40d29m29s
161 *2MASS J09184859+0213220  09h18m48.6s +02d13m22s
162  SDSS J092145.37+233548.1 09h21m45.4s +23d35m48s
163  SDSS J092146.79+245541.3 09h21m46.8s +24d55m41s
164  SDSS J092216.38+234645.5 09h22m16.4s +23d46m46s
165  SDSS J092309.41+215523.8 09h23m09.4s +21d55m24s
166  SDSS J092312.75+174452.8 09h23m12.7s +17d44m53s
167  SDSS J092352.85+264959.6 09h23m52.8s +26d50m00s
168  SDSS J092401.04+053345.3 09h24m01.0s +05d33m45s
169  SDSS J092430.80+312032.3 09h24m30.8s +31d20m32s
170  SDSS J092542.87+595816.3 09h25m42.9s +59d58m17s
171 *B2 0922+31B              09h25m43.6s +31d27m11s
172  2MASS J09263881+5411270  09h26m38.9s +54d11m27s
173  SDSS J092814.02+545848.3 09h28m14.0s +54d58m48s
174  SDSS J092837.43+404845.2 09h28m37.4s +40d48m45s
175  SDSS J092839.08+533152.2 09h28m39.1s +53d31m52s
176  SDSS J092902.42+194525.1 09h29m02.4s +19d45m25s
177  2MASS J09291222+0300297  09h29m12.2s +03d00m30s
178  2MASS J09291544+5013360  09h29m15.4s +50d13m36s
179  SDSS J092938.07+190502.0 09h29m38.1s +19d05m02s
180  2MASS J09303759+4950256  09h30m37.6s +49d50m26s
181  SDSS J093217.59+341232.8 09h32m17.6s +34d12m33s
182  2MASS J09323935+1042352  09h32m39.4s +10d42m35s
183 *SDSS J093406.66+392632.1 09h34m06.7s +39d26m32s
184 *SDSS J093437.53+262232.6 09h34m37.5s +26d22m33s
185  SDSS J093544.16+124031.6 09h35m44.2s +12d40m32s
186  SDSS J093627.66+185003.3 09h36m27.6s +18d50m03s
187 *SDSS J093807.86+371751.3 09h38m07.9s +37d17m51s
188  2MASX J09402250+6148267  09h40m22.4s +61d48m26s
189  SDSS J094245.30+541620.4 09h42m45.3s +54d16m21s
190  SDSS J094257.80-004705.2 09h42m57.8s -00d47m05s
191  SDSS J094432.32+573536.0 09h44m32.3s +57d35m36s
192 *2MASX J09454226+5757473  09h45m42.2s +57d57m48s
193 *SDSS J094604.46+473510.1 09h46m04.5s +47d35m10s
194  SDSS J094620.21+010452.0 09h46m20.2s +01d04m52s
195 *SDSS J094738.58+221533.3 09h47m38.6s +22d15m33s
196  2MASS J09474036+3453454  09h47m40.3s +34d53m45s
197 *SDSS J094827.05+083940.8 09h48m27.0s +08d39m41s
198  SDSS J094853.60+085514.4 09h48m53.6s +08d55m14s
199  SDSS J094911.91+182231.4 09h49m11.9s +18d22m31s
200  2MASS J09500345+0615039  09h50m03.5s +06d15m04s
201  SDSS J095041.07+233159.5 09h50m41.1s +23d32m00s
202  SDSS J095125.90+504559.7 09h51m25.9s +50d46m00s
203  2MASS J09512783+0102103  09h51m27.8s +01d02m10s
204  SDSS J095214.70+393615.8 09h52m14.7s +39d36m16s
205  SDSS J095409.86+491459.5 09h54m09.8s +49d15m00s
206  SDSS J095438.39+234118.2 09h54m38.4s +23d41m18s
207  SDSS J095501.87+083342.1 09h55m01.9s +08d33m42s
208  SDSS J095507.88+355100.8 09h55m07.9s +35d51m01s
209  SDSS J095549.67+101429.5 09h55m49.7s +10d14m30s
210  SDSS J095550.53+555506.9 09h55m50.5s +55d55m07s
211  SDSS J095649.53+015601.8 09h56m49.5s +01d56m02s
212  SDSS J095802.93+062634.5 09h58m02.9s +06d26m35s
213  2MASS J09592989+2123210  09h59m29.9s +21d23m21s
214  SDSS J100040.67+531911.7 10h00m40.7s +53d19m12s
215  SDSS J100050.21+574609.1 10h00m50.2s +57d46m09s
216  2MASS J10011021+2911376  10h01m10.2s +29d11m38s
217  SDSS J100234.42+221614.9 10h02m34.4s +22d16m15s
218  SDSS J100309.39+073822.8 10h03m09.4s +07d38m23s
219  SDSS J100326.63+020455.6 10h03m26.6s +02d04m56s
220  SDSS J100408.18+144909.9 10h04m08.2s +14d49m10s
221  2MASS J10044474+3752122  10h04m44.7s +37d52m12s
222  SDSS J100517.54+331202.8 10h05m17.5s +33d12m03s
223  SDSS J100612.22+644011.5 10h06m12.2s +64d40m12s
224  2MASS J10065644+3454453  10h06m56.4s +34d54m45s
225  2MASS J10081139+4705216  10h08m11.4s +47d05m21s
226  SDSS J100902.82+621354.7 10h09m02.8s +62d13m55s
227  2MASS J10095962+0145327  10h09m59.6s +01d45m34s
228  PKS 1008+013             10h11m15.6s +01d06m43s
229  SDSS J101118.50+013755.8 10h11m18.5s +01d37m56s
230  SDSS J101141.02+291114.7 10h11m41.0s +29d11m15s
231 *2MASS J10121335+0630569  10h12m13.3s +06d30m57s
232  FBQS J101244.2+422957    10h12m44.3s +42d29m57s
233  SDSS J101353.46+492758.1 10h13m53.5s +49d27m58s
234  [HB89] 1011+496          10h15m04.1s +49d26m01s
235  2MASS J10154400+1227078  10h15m44.0s +12d27m07s
236  2MASS J10170666+5202471  10h17m06.7s +52d02m47s
237  SDSS J101754.91+431201.1 10h17m54.9s +43d12m01s
238  SDSS J101807.91+190615.5 10h18m07.9s +19d06m16s
239  SDSS J101849.78+271914.9 10h18m49.8s +27d19m15s
240 *2MASS J10185855+5911279  10h18m58.5s +59d11m28s
241  2MASS J10195087+6320017  10h19m50.9s +63d20m02s
242  2MASX J10201378+6250102  10h20m13.7s +62d50m10s
243  SDSS J102100.35+162554.0 10h21m00.3s +16d25m54s
244  SDSS J102128.87+380643.2 10h21m28.9s +38d06m43s
245  SDSS J102130.75+141137.4 10h21m30.7s +14d11m37s
246  FBQS J1022-0113          10h22m43.7s -01d13m02s
247  2MASS J10233974+3000577  10h23m39.7s +30d00m58s
248  2MASS J10245364+2332339  10h24m53.6s +23d32m34s
249  2MASS J10252304+0402290  10h25m23.0s +04d02m29s
250  SDSS J102609.92+253651.2 10h26m09.9s +25d36m51s
251  SDSS J102659.57+514703.8 10h26m59.6s +51d47m04s
252  SDSS J102703.39+060933.9 10h27m03.4s +06d09m34s
253  SDSS J102724.94+631753.0 10h27m24.9s +63d17m53s
254  SDSS J102732.39+352622.1 10h27m32.4s +35d26m22s
255  2MASS J10282764+0555153  10h28m27.6s +05d55m15s
256 *2MASX J10311847+5053358  10h31m18.5s +50d53m36s
257  SDSS J103208.36+040157.0 10h32m08.4s +04d01m57s
258  SDSS J103220.28+030949.2 10h32m20.3s +03d09m49s
259  2MASS J10323905+6623234  10h32m39.1s +66d23m23s
260 *FBQS J103240.7+373827    10h32m40.7s +37d38m27s
261  2MASX J10331792+4222365  10h33m17.9s +42d22m36s
262  SDSS J103346.39+370825.1 10h33m46.4s +37d08m25s
263  SDSS J103507.64+072338.5 10h35m07.6s +07d23m39s
264  SDSS J103510.81+374929.0 10h35m10.8s +37d49m29s
265  SDSS J103601.11+084948.4 10h36m01.1s +08d49m48s
266  2MASS J10364036+1233389  10h36m40.3s +12d33m39s
267  SDSS J103729.78+170149.4 10h37m29.8s +17d01m49s
268  SDSS J103736.09+342730.8 10h37m36.1s +34d27m31s
269  2MASS J10374429+5711556  10h37m44.3s +57d11m56s
270  SDSS J103806.71+382626.5 10h38m06.7s +38d26m27s
271  SDSS J103845.88+392735.0 10h38m45.9s +39d27m35s
272  SDSS J103852.18+325651.6 10h38m52.2s +32d56m52s
273  2MASS J10402901+0947544  10h40m29.0s +09d47m54s
274  2MASS J10412563+1324586  10h41m25.6s +13d24m58s
275  B3 1038+392              10h41m49.1s +39d01m20s
276  SDSS J104255.44+151314.9 10h42m55.4s +15d13m15s
277  FBQS J104309.0+240835    10h43m09.0s +24d08m35s
278  SDSS J104323.88+065310.1 10h43m23.9s +06d53m10s
279  SDSS J104516.30+275133.4 10h45m16.3s +27d51m33s
280  2MASS J10485762+5009453  10h48m57.6s +50d09m45s
281  2MASS J10512539+3943251  10h51m25.4s +39d43m26s
282  2MASX J10534409+4929557  10h53m44.1s +49d29m56s
283  2MASS J10543061+2210548  10h54m30.6s +22d10m55s
284  FBQS J105431.8+385521    10h54m31.9s +38d55m22s
285  SDSS J105451.49+162607.3 10h54m51.5s +16d26m07s
286  2MASS J10553863+3052510  10h55m38.6s +30d52m51s
287  2MASS J10560659+0252135  10h56m06.6s +02d52m14s
288  FBQS J105723.1+230318    10h57m23.1s +23d03m19s
289  SDSS J105752.79-005908.3 10h57m52.8s -00d59m08s
290  B3 1055+433              10h58m02.9s +43d04m42s
291  [HB89] 1055+018          10h58m29.6s +01d33m59s
292  FBQS J105829.8+281746    10h58m29.9s +28d17m46s
293 *2MASS J10583771+5628113  10h58m37.7s +56d28m11s
294  2MASS J10595087+4343147  10h59m50.8s +43d43m15s
295  FBQS J110021.0+401927    11h00m21.1s +40d19m28s
296  2MASS J11012472+4108477  11h01m24.7s +41d08m47s
297  2MASS J11022294+3801225  11h02m23.0s +38d01m23s
298  2MASS J11035613+0022362  11h03m56.1s +00d22m36s
299  2MASS J11042407+0730532  11h04m24.1s +07d30m53s
300  SDSS J110704.78+501037.9 11h07m04.8s +50d10m38s
301  2MASS J11073589+0222250  11h07m35.9s +02d22m25s
302 *2MASS J11074808+1502105  11h07m48.1s +15d02m11s
303  SDSS J110839.62+532721.3 11h08m39.6s +53d27m21s
304  SDSS J110844.76+261532.7 11h08m44.7s +26d15m33s
305  FBQS J110916.1+241120    11h09m16.1s +24d11m20s
306  2MASS J11093849+3736113  11h09m38.5s +37d36m12s
307  FBQS J111056.8+353907    11h10m56.8s +35d39m07s
308  SDSS J111057.19+170455.7 11h10m57.2s +17d04m56s
309 *SDSS J111105.54+283843.4 11h11m05.5s +28d38m43s
310  SDSS J111109.10+384856.7 11h11m09.1s +38d48m57s
311  SDSS J111130.90+345203.3 11h11m30.9s +34d52m03s
312  SDSS J111207.95+260803.7 11h12m07.9s +26d08m04s
313  SDSS J111224.60+175121.8 11h12m24.6s +17d51m22s
314  SDSS J111316.48+285905.6 11h13m16.5s +28d59m06s
315  SDSS J111401.30+222211.4 11h14m01.3s +22d22m12s
316  SDSS J111457.94+593532.0 11h14m57.9s +59d35m32s
317  SDSS J111642.81+420324.9 11h16m42.8s +42d03m25s
318  2MASS J11170625+2014073  11h17m06.2s +20d14m07s
319  SDSS J111717.53+000633.5 11h17m17.5s +00d06m34s
320  FBQS J111740.4+254846    11h17m40.4s +25d48m47s
321  2MASS J11175720+5355545  11h17m57.2s +53d55m55s
322  FBQS J112048.0+421212    11h20m48.0s +42d12m12s
323  2MASS J11205971+0144568  11h20m59.7s +01d44m57s
324  SDSS J112211.80+431649.7 11h22m11.8s +43d16m50s
325  SDSS J112405.35+204553.7 11h24m05.3s +20d45m54s
326  SDSS J112448.05+120213.9 11h24m48.0s +12d02m14s
327  2MASS J11245388+4934100  11h24m53.8s +49d34m10s
328  SDSS J112503.64+214300.1 11h25m03.6s +21d43m00s
329  SDSS J112639.68+275513.1 11h26m39.7s +27d55m13s
330  SDSS J112809.07+022254.5 11h28m09.1s +02d22m55s
331  SDSS J112914.31+370317.9 11h29m14.3s +37d03m18s
332  SDSS J113024.77+281317.6 11h30m24.8s +28d13m18s
333  SDSS J113039.09-004023.0 11h30m39.1s -00d40m23s
334 *2MASS J11311549+0234506  11h31m15.5s +02d34m50s
335  2MASS J11311861+5808587  11h31m18.6s +58d08m59s
336 *2MASS J11324561+0034275  11h32m45.6s +00d34m28s
337  SDSS J113413.47+001041.9 11h34m13.5s +00d10m42s
338  SDSS J113503.57+320015.6 11h35m03.6s +32d00m15s
339  SDSS J113523.70+660941.0 11h35m23.7s +66d09m41s
340  2MASX J11363009+6737042  11h36m30.1s +67d37m04s
341  SDSS J113747.64+391941.5 11h37m47.6s +39d19m42s
342  2MASS J11381218+4113531  11h38m12.2s +41d13m53s
343 *SDSS J113900.55-020140.0 11h39m00.5s -02d01m40s
344  2MASX J11402348+1528094  11h40m23.5s +15d28m10s
345  SDSS J114038.90+100535.3 11h40m38.9s +10d05m35s
346  SDSS J114137.13-002729.8 11h41m37.1s -00d27m30s
347  SDSS J1141+0219          11h41m53.3s +02d19m24s
348  SDSS J114221.76+334201.7 11h42m21.7s +33d42m02s
349  2MASS J11431211+6122107  11h43m12.1s +61d22m11s
350  LCRS B114301.7-032322    11h45m35.1s -03d40m02s
351 *SDSS J114837.77+184009.0 11h48m37.8s +18d40m09s
352  SDSS J114926.13+624332.4 11h49m26.1s +62d43m33s
353  SDSS J114930.35+243927.0 11h49m30.3s +24d39m27s
354  SDSS J114955.67+103508.1 11h49m55.7s +10d35m08s
355  FBQS J115019.2+241753    11h50m19.2s +24d17m54s
356  FBQS J115034.7+415440    11h50m34.7s +41d54m40s
357  2MASS J11512466+5859176  11h51m24.6s +58d59m18s
358  FBQS J115210.7+283721    11h52m10.7s +28d37m21s
359  2MASS J11522215+1531479  11h52m22.2s +15d31m48s
360  SDSS J115244.85+340638.9 11h52m44.8s +34d06m39s
361  FBQS J115251.9+330718    11h52m51.9s +33d07m19s
362  FBQS J115326.7+361726    11h53m26.7s +36d17m26s
363  FBQS J115342.9+382305    11h53m42.9s +38d23m06s
364  SDSS J115353.35+502633.9 11h53m53.3s +50d26m34s
365  2MASS J11540456-0010096  11h54m04.5s -00d10m10s
366  SDSS J115518.26+092641.2 11h55m18.3s +09d26m41s
367  SDSS J115548.40+613553.8 11h55m48.4s +61d35m54s
368  SDSS J115637.02+184856.5 11h56m37.0s +18d48m57s
369  FBQS J1157+2822          11h57m09.5s +28d22m01s
370  SDSS J115851.19+330847.5 11h58m51.2s +33d08m48s
371  SDSS J115854.37+093711.7 11h58m54.4s +09d37m12s
372  SDSS J115959.71+410152.9 11h59m59.7s +41d01m53s
373  SDSS J120059.68+400913.1 12h00m59.7s +40d09m13s
374  2MASX J12010620-0007020  12h01m06.2s -00d07m02s
375 *B3 1159+450              12h02m08.6s +44d44m22s
376  2MASS J12025706+3851476  12h02m57.1s +38d51m48s
377  SBS 1200+608             12h03m03.5s +60d31m19s
378  SDSS J120331.67+543009.0 12h03m31.7s +54d30m09s
379  SDSS J120355.33+581945.5 12h03m55.3s +58d19m46s
380  2MASS J12041209+1145554  12h04m12.1s +11d45m55s
381  SDSS J120435.37+231607.2 12h04m35.4s +23d16m07s
382  SDSS J120543.30+582933.7 12h05m43.3s +58d29m34s
383  SDSS J120658.02+052952.2 12h06m58.0s +05d29m52s
384  SDSS J120709.97+171549.3 12h07m10.0s +17d15m49s
385  SDSS J120804.32+301550.4 12h08m04.3s +30d15m50s
386  2MASX J12083705+6121069  12h08m37.1s +61d21m06s
387  2MASS J12083727+1159377  12h08m37.3s +11d59m38s
388 *FBQS J120922.7+411941    12h09m22.8s +41d19m41s
389  SDSS J120938.32+021017.1 12h09m38.3s +02d10m17s
390  SDSS J121002.66+324058.9 12h10m02.7s +32d40m59s
391  [HB89] 1207+397          12h10m26.6s +39d29m08s
392  SDSS J121037.35+525341.9 12h10m37.3s +52d53m42s
393  SDSS J121051.65+313659.9 12h10m51.6s +31d37m00s
394  SDSS J121103.28-002005.2 12h11m03.3s -00d20m05s
395  SDSS J121221.56+534127.8 12h12m21.5s +53d41m28s
396  2MASS J12130079+5129358  12h13m00.8s +51d29m36s
397 *SDSS J121348.80+642520.1 12h13m48.8s +64d25m20s
398  2MASS J12150080+5002157  12h15m00.8s +50d02m16s
399  SDSS J121508.85+350813.4 12h15m08.9s +35d08m13s
400  2MASS J12151799+5459135  12h15m18.0s +54d59m13s
401  SDSS J121649.97+054136.7 12h16m50.0s +05d41m37s
402  PKS 1215-002             12h17m58.7s -00d29m46s
403  SDSS J121929.45+471522.8 12h19m29.4s +47d15m23s
404  2MASS J12194495+0446225  12h19m45.0s +04d46m22s
405 *FBQS J122008.3+343121    12h20m08.3s +34d31m22s
406  SDSS J122012.14-000306.7 12h20m12.1s -00d03m07s
407  FBQS J1221+3010          12h21m21.9s +30d10m37s
408  W Com                    12h21m31.7s +28d13m59s
409  SDSS J122211.42+354058.3 12h22m11.4s +35d40m58s
410  2MASS J12230027+5153137  12h23m00.3s +51d53m14s
411  LBQS 1221+1745           12h23m34.9s +17d28m43s
412  2MASX J12235302+4650485  12h23m53.0s +46d50m49s
413 *B3 1222+438              12h24m51.5s +43d35m19s
414  SDSS J122801.59+330035.5 12h28m01.6s +33d00m36s
415  SDSS J122809.13-022136.1 12h28m09.1s -02d21m36s
416  2MASX J12312389+1421244  12h31m23.9s +14d21m25s
417  [HB89] 1229+645          12h31m31.4s +64d14m18s
418  SDSS J123132.37+013813.9 12h31m32.4s +01d38m14s
419 *FBQS J123143.5+284749    12h31m43.6s +28d47m50s
420  LBQS 1230+1718           12h33m05.1s +17d01m33s
421  2MASS J12334134-0144237  12h33m41.3s -01d44m24s
422 *2MASS J12343896+3910470  12h34m38.9s +39d10m47s
423  SDSS J123528.85+170036.6 12h35m28.8s +17d00m37s
424  SDSS J123618.89+032455.9 12h36m18.9s +03d24m56s
425  FBQS J123623.0+390001    12h36m23.0s +39d00m01s
426  SDSS J123705.61+302004.9 12h37m05.6s +30d20m05s
427  [HB89] 1235+632          12h37m39.1s +62d58m43s
428  SDSS J1237+6301          12h37m43.1s +63d01m45s
429  SDSS J123826.01+443137.1 12h38m26.0s +44d31m37s
430  2MASX J12383128+5406524  12h38m31.2s +54d06m52s
431  SDSS J123931.16+405446.4 12h39m31.1s +40d54m46s
432  SDSS J124030.93+344527.5 12h40m30.9s +34d45m28s
433  SDSS J124109.43+340038.1 12h41m09.4s +34d00m38s
434  SDSS J124141.38+344031.0 12h41m41.4s +34d40m31s
435  SDSS J124203.13+085048.1 12h42m03.1s +08d50m48s
436  2MASX J12422548+6429188  12h42m25.4s +64d29m19s
437 *FBQS J124312.6+362743    12h43m12.7s +36d27m44s
